,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,MYF6,88.38765229,-0.949380176,0.361489672,7.582845075,0.005892636,0.24087746
2,GHRH,72.14756135,0.81435363,0.308419509,7.638141835,0.005714676,0.24087746
3,ARNT,1125.441192,-0.203321441,0.077607672,7.061020146,0.007877912,0.24087746
4,NTS,1204.061415,0.406400383,0.15200621,6.941405943,0.008422289,0.24087746
5,NR3C1,1640.003602,-0.380494498,0.133960264,8.668424269,0.00323771,0.24087746
6,CRHR1,744.5189464,0.349483915,0.140113154,6.325538499,0.011901134,0.283643701
7,PDK4,193.4105832,-0.66229863,0.270752051,5.641807226,0.017537121,0.358258332
8,SST,5416.361868,0.224020967,0.101141032,4.752420325,0.029257116,0.4961495
9,SLITRK1,8001.38048,0.138771953,0.065650339,4.460085088,0.034695769,0.4961495
10,PLPP4,5652.550302,0.28579803,0.130364503,4.526779381,0.033368359,0.4961495
11,APOLD1,164.5139391,-0.474341786,0.218015307,4.129810991,0.042134056,0.547742734
12,TACR3,177.2824969,0.381420939,0.186611308,3.91916438,0.047738603,0.568885024
13,FOSL2,672.5580266,-0.272001247,0.1456753,3.674845156,0.055239384,0.607633229
14,BMP7,1452.550917,-0.138046463,0.073322276,3.420849734,0.064377868,0.613735678
15,KCNA1,871.2843808,0.231555001,0.122886669,3.52747144,0.060359773,0.613735678
16,GCH1,1813.701008,0.105168772,0.06340168,2.779061774,0.095504101,0.682598098
17,EMP1,666.9726699,-0.363661841,0.204369449,3.128496832,0.076934648,0.682598098
18,SLC2A1,2260.959501,-0.159148348,0.094764713,2.823835601,0.092874226,0.682598098
19,SLC10A4,1052.065073,0.174191647,0.1022119,2.811742456,0.093576686,0.682598098
20,SLC18A3,1403.333577,0.24287084,0.144284228,2.701694132,0.100241679,0.682598098
21,ARPC5,19647.99831,0.099929955,0.057995515,2.911591631,0.087945044,0.682598098
22,PTGS2,168.0347051,-0.299584295,0.20445945,2.173174031,0.140436113,0.803294568
23,SIX3,2676.849848,0.141919814,0.098025342,2.176411194,0.140140914,0.803294568
24,PENK,8758.521992,0.184518792,0.124213723,2.209464794,0.137166251,0.803294568
25,KCNJ6,690.932017,0.148513867,0.098946088,2.228103477,0.135520103,0.803294568
26,TRH,195.7804079,0.315761963,0.218913866,2.108802525,0.146453881,0.805496346
27,MYH11,180.5237042,-0.438734039,0.336748949,1.703077028,0.19188606,0.826598065
28,BMP4,219.3614605,-0.365011362,0.277956781,1.653069765,0.198541634,0.826598065
29,EDN3,386.0086603,-0.173185098,0.137779639,1.546245484,0.213690566,0.826598065
30,THRA,778.7797033,-0.250798206,0.200411585,1.569648344,0.21025809,0.826598065
31,NOTCH1,2013.088756,-0.124639143,0.097340777,1.743761539,0.18666292,0.826598065
32,GAL,764.5879788,0.32673199,0.263971719,1.545000492,0.213875024,0.826598065
33,SGSM1,1288.553749,0.097934195,0.079016314,1.577068945,0.209183394,0.826598065
34,RASGRF2,757.8873953,0.122663408,0.100866313,1.556899614,0.212119754,0.826598065
35,SGK1,2121.867668,-0.130026172,0.102884011,1.663069786,0.197189357,0.826598065
36,TAC1,3141.336868,0.170709962,0.127690541,1.592615652,0.206952828,0.826598065
37,PVALB,1263.4599,0.256593582,0.192477823,1.568709706,0.210394495,0.826598065
38,LOC100219863,106.2626784,0.591273633,0.50480981,1.4157334,0.234106943,0.880981391
39,SDC3,18110.1324,0.061894742,0.07601815,0.665113851,0.414760346,0.910037728
40,FABP7,95641.5182,0.065513454,0.106988784,0.358569232,0.549301923,0.910037728
41,DRD2,179.9564864,-0.231613146,0.22158688,1.067793545,0.301444364,0.910037728
42,INSIG1,3892.424072,0.063535706,0.136734711,0.212494187,0.64481947,0.910037728
43,HMOX1,1528.917149,0.076933662,0.176195835,0.190805108,0.662247376,0.910037728
44,MOV10L1,58.68729335,0.247386875,0.487568089,0.283745195,0.594256925,0.910037728
45,BMP3,1637.48617,-0.148373619,0.195885526,0.578088729,0.447062455,0.910037728
46,AOAH,47.34709504,-0.184012335,0.278938931,0.456374022,0.499323473,0.910037728
47,CRH,321.3497147,0.139084528,0.199965187,0.447217111,0.503659475,0.910037728
48,POMC,1098.311396,-0.129647545,0.418541825,0.111944885,0.737940684,0.910037728
49,ASCL1,421.6723169,0.09580606,0.103038304,0.802020834,0.370489859,0.910037728
50,BMP2,154.6550448,-0.098323086,0.131952453,0.532335043,0.46562681,0.910037728
51,CHGA,19735.63661,0.1251631,0.340724848,0.163833267,0.685651564,0.910037728
52,CHRDL1,717.2832716,-0.156448091,0.255778474,0.387872222,0.533419978,0.910037728
53,DLL1,868.7700854,-0.033698187,0.08990454,0.135151857,0.713149102,0.910037728
54,FGF10,216.9308553,0.124719396,0.135407004,0.84018273,0.359344515,0.910037728
55,HES5,192.7399062,-0.244079908,0.289131137,0.662752866,0.415589757,0.910037728
56,IGF1,437.0230809,-0.100562838,0.194562094,0.250962434,0.616398212,0.910037728
57,IGF1R,4671.411574,-0.070023951,0.08465472,0.660043077,0.416544736,0.910037728
58,LZTS3,2261.804671,0.044985216,0.076759,0.346127296,0.556313603,0.910037728
59,MEIS1,3783.814093,0.06521045,0.144795872,0.193463144,0.660049768,0.910037728
60,NEUROD4,10.15766735,-0.665284083,0.791745283,0.718445765,0.3966542,0.910037728
61,NHLH1,4.631976779,0.35371611,1.081952449,0.125113009,0.723553849,0.910037728
62,NKX2-1,812.178027,0.134420665,0.215485576,0.412545355,0.520680403,0.910037728
63,LOC100231196,1935.954528,0.175395053,0.219931785,0.62284539,0.429991882,0.910037728
64,POU3F1,149.969856,0.194532573,0.345492939,0.301548832,0.582913067,0.910037728
65,PTCH1,1941.381915,-0.114354446,0.116459839,1.037117342,0.308492851,0.910037728
66,ROBO2,5056.928317,0.07582388,0.164974397,0.194199281,0.659444334,0.910037728
67,SHH,1995.725157,0.047482019,0.116479271,0.170508756,0.679660055,0.910037728
68,SIM2,44.88905923,0.145429856,0.481698398,0.110939426,0.739077138,0.910037728
69,TAGLN3,1765.267439,0.121262349,0.115537814,1.059700324,0.303283544,0.910037728
70,TBX2,481.8756329,-0.092008598,0.185659048,0.254866607,0.613669005,0.910037728
71,TCF7L2,4662.796321,0.186500574,0.256268278,0.479514718,0.488642212,0.910037728
72,NPVF,434.310895,0.42878316,0.462899578,0.761381492,0.382896534,0.910037728
73,HDC,103.6826305,0.203650699,0.261336101,0.628935326,0.427746112,0.910037728
74,IRS4,1706.761687,0.047573544,0.09161703,0.261272261,0.609247439,0.910037728
75,SIX6,610.8040527,-0.202131489,0.22250599,0.858873318,0.354054178,0.910037728
76,LOC121469849,87.78835179,0.319189721,0.661265046,0.209804321,0.646920818,0.910037728
77,OXTR,153.6813788,-0.099723435,0.291647928,0.109766439,0.740410198,0.910037728
78,ODC1,2999.695461,0.107671739,0.097282216,1.149101711,0.283737272,0.910037728
79,PDYN,501.776661,0.095742906,0.281868843,0.119179785,0.729925786,0.910037728
80,ERP29,11960.97603,0.027737851,0.08160079,0.116934331,0.732383538,0.910037728
81,PGRMC2,2536.350473,0.063511954,0.107032994,0.335498671,0.56243907,0.910037728
82,SCG3,15178.33019,0.085850938,0.125336464,0.470853406,0.492594824,0.910037728
83,CARTPT,761.3337209,0.131103692,0.267397657,0.22293109,0.636815593,0.910037728
84,DLK1,1271.097885,-0.07599714,0.16893169,0.18892032,0.663816749,0.910037728
85,CELF6,3477.57903,0.073870314,0.098203093,0.549506176,0.458519541,0.910037728
86,RXFP3,533.8743596,0.06921956,0.115615203,0.388000719,0.533352185,0.910037728
87,S100A10,1583.988613,-0.267153348,0.269244727,0.984392909,0.321116669,0.910037728
88,MEST,227.0050619,-0.086193144,0.180871605,0.226652922,0.63401682,0.910037728
89,NUCB2,5085.610112,-0.107242146,0.12051187,0.813561746,0.36706931,0.910037728
90,SNCG,2783.039297,0.100181568,0.152158845,0.396134861,0.529092157,0.910037728
91,AVPI1,66.14383238,0.404787228,0.49783575,0.494252829,0.482036323,0.910037728
92,AVPR1B,12.74547443,0.371643145,0.779612547,0.272783138,0.601470901,0.910037728
93,CALB2,5086.409705,0.117905699,0.126627054,0.880848134,0.347969488,0.910037728
94,CALCB,886.1223084,-0.104055777,0.208366068,0.267565704,0.604969413,0.910037728
95,LHX5,1669.554336,0.060380608,0.180530825,0.106145085,0.744576323,0.910037728
96,NGB,345.511315,0.146306174,0.132177229,1.220486937,0.269265112,0.910037728
97,PPP1R17,2.00430597,0.745131646,1.783198893,0.17832345,0.672818018,0.910037728
98,PRSS56,30.99655405,0.169018652,0.286469832,0.315330783,0.574427278,0.910037728
99,SCGN,415.0205439,-0.048229327,0.139499312,0.126331948,0.722265936,0.910037728
100,SLC18A2,1235.409902,0.087482463,0.13734692,0.393972855,0.530218458,0.910037728
101,SLC38A8,87.4384774,-0.313400789,0.378606312,0.613967757,0.433297779,0.910037728
102,UTS2,1.078486926,-1.257296,1.621454726,0.367346457,0.544454241,0.910037728
103,NR3C2,640.7103282,-0.066640859,0.145905952,0.217406312,0.641023324,0.910037728
104,ARHGAP35,2783.626334,-0.052616847,0.154916076,0.119455503,0.729625793,0.910037728
105,SSTR1,7232.15557,0.055669351,0.092937601,0.34980923,0.55422114,0.910037728
106,SSTR4,575.9230795,0.090912972,0.267704612,0.10935029,0.740885037,0.910037728
107,SSTR5,339.328067,-0.063247197,0.131742195,0.24397366,0.621350744,0.910037728
108,TSHR,163.9303561,0.152234031,0.314418999,0.272469095,0.601680271,0.910037728
109,LOC115491955,1.444826695,-0.797163872,1.06340315,0.628014216,0.42808465,0.910037728
110,CRHR2,1030.88965,0.087050633,0.149672058,0.320795284,0.5711301,0.910037728
111,TRHR,209.9084412,0.171395646,0.279085127,0.371474664,0.542201545,0.910037728
112,TRHDE,2164.428426,0.085408091,0.124188821,0.484337447,0.486464173,0.910037728
113,CBLN2,4674.73174,0.16557539,0.149151002,1.148128977,0.283941163,0.910037728
114,ATP2B2,7999.465804,0.083009935,0.083286008,0.996263459,0.318216334,0.910037728
115,RNF157,4351.067518,0.112468421,0.218830703,0.249106754,0.617704743,0.910037728
116,SYF2,3449.483049,0.119634585,0.246655137,0.228208065,0.632855716,0.910037728
117,ATP2A3,711.200859,-0.104478718,0.18449142,0.345542434,0.556647362,0.910037728
118,CORT,3.102815879,0.378488645,0.980322034,0.099067078,0.752952062,0.912475804
119,TH,540.4205874,-0.043154716,0.145412929,0.093630332,0.759611698,0.912810696
120,KCNIP2,2067.670491,0.039922214,0.133563192,0.086291134,0.76894625,0.916327615
121,AVPR1A,365.6044935,-0.039759856,0.148063785,0.068763953,0.793145038,0.928455847
122,HMX2,153.4639935,-0.077744114,0.314391306,0.064306845,0.799813912,0.928455847
123,TRIP4,893.7941173,-0.021735601,0.086792121,0.061368763,0.804345489,0.928455847
124,SLC6A6,5000.41047,-0.036106592,0.14681475,0.060890107,0.805094581,0.928455847
125,SLC29A4,1555.322439,0.038295326,0.174434473,0.049241627,0.824388193,0.943100093
126,SSTR2,1650.076407,-0.041133605,0.190585894,0.044707027,0.832543664,0.944870984
127,DBI,9375.885896,0.022737529,0.113836745,0.037662724,0.84612196,0.952720002
128,THRB,625.4892302,-0.019833865,0.125970905,0.026034822,0.871815305,0.959813152
129,HEY1,1259.525713,-0.013890543,0.081437041,0.028720917,0.865425028,0.959813152
130,SIM1,124.5314966,-0.032086831,0.280664437,0.014926024,0.902762716,0.959813152
131,SLIT1,12650.29497,-0.018284682,0.171094768,0.011548411,0.914421253,0.959813152
132,ADCYAP1R1,710.4066125,-0.018050116,0.179455095,0.010203338,0.919541271,0.959813152
133,KCNMB4,130.268448,-0.019595308,0.167373921,0.01330392,0.908173559,0.959813152
134,FEZF1,958.2092793,-0.027728647,0.237930674,0.014370202,0.904581555,0.959813152
135,SLC17A6,2930.373944,-0.01238775,0.110556415,0.013214796,0.908480294,0.959813152
136,SOX14,1572.188182,-0.042317493,0.257777629,0.022627277,0.880430378,0.959813152
137,LOC121469847,824.2660071,-0.056295011,0.426516592,0.01776394,0.893970811,0.959813152
138,ECEL1,1127.510178,0.017525224,0.208757458,0.00703792,0.93314205,0.966951545
139,PMCH,59.32947359,-0.025635547,0.447721617,0.00382226,0.950702648,0.971744982
140,CALCR,696.6575384,0.006712056,0.111343806,0.003721074,0.951358724,0.971744982
141,HMX3,1714.503849,-0.00797909,0.193272087,0.001739917,0.96672804,0.980440494
142,EMX2,917.6949468,-0.006682257,0.259646484,0.000603772,0.980396539,0.984259002
143,CPNE2,1755.275799,-0.002216866,0.113888095,0.000389261,0.984259002,0.984259002
144,IL11,0,NA,NA,NA,1,NA